Date	Time	FMG1	FMG2	FMG3	FMG4	FMG5	FMG6	FMG7	FMG8	IMU1	IMU2	IMU3	IMU4	IMU5	IMU6	IMU7	IMU8	IMU9	EMG1	EMG2	EMG3	EMG4	TTL1	TTL2	TTL3	TTL4							
8/25/2022	3:56:52 PM	103760.000000	175556.000000	34119.000000	54234.000000	30774.000000	64684.000000	49654.000000	80643.000000	788.000000	-7004.000000	-4092.000000	28.000000	22.000000	1.000000	-41.000000	-330.000000	-59.000000	0.131836	0.195312	0.273437	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104837.000000	173636.000000	34235.000000	54447.000000	30698.000000	63428.000000	49149.000000	81831.000000	851.000000	-7021.000000	-4130.000000	26.000000	34.000000	-21.000000	-44.000000	-331.000000	-57.000000	0.122070	0.190430	0.283203	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	103760.000000	175003.000000	34109.000000	54340.000000	30774.000000	63866.000000	49084.000000	82745.000000	855.000000	-7016.000000	-4141.000000	28.000000	26.000000	8.000000	-46.000000	-331.000000	-53.000000	0.117187	0.200195	0.283203	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	103954.000000	175556.000000	34150.000000	54661.000000	30877.000000	64608.000000	48697.000000	82255.000000	798.000000	-7028.000000	-4120.000000	27.000000	66.000000	12.000000	-43.000000	-332.000000	-56.000000	0.112305	0.190430	0.283203	0.029297	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	103566.000000	176112.000000	34245.000000	54340.000000	30783.000000	64050.000000	48718.000000	82377.000000	849.000000	-7013.000000	-4107.000000	45.000000	8.000000	-5.000000	-40.000000	-339.000000	-64.000000	0.102539	0.200195	0.283203	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	105333.000000	175556.000000	34224.000000	53945.000000	30800.000000	64986.000000	48825.000000	82868.000000	796.000000	-7015.000000	-4085.000000	36.000000	23.000000	-10.000000	-40.000000	-340.000000	-62.000000	0.107422	0.200195	0.278320	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104738.000000	175003.000000	34362.000000	54208.000000	30808.000000	64684.000000	49041.000000	83491.000000	777.000000	-7024.000000	-4132.000000	28.000000	43.000000	-18.000000	-37.000000	-335.000000	-59.000000	0.107422	0.209961	0.278320	0.043945	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104149.000000	175003.000000	34394.000000	54394.000000	30647.000000	64161.000000	48933.000000	84507.000000	836.000000	-7018.000000	-4083.000000	42.000000	24.000000	-19.000000	-36.000000	-333.000000	-63.000000	0.107422	0.200195	0.273437	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	103760.000000	175003.000000	34404.000000	53840.000000	30512.000000	63829.000000	49171.000000	84571.000000	856.000000	-7028.000000	-4111.000000	51.000000	6.000000	-13.000000	-35.000000	-336.000000	-72.000000	0.107422	0.205078	0.273437	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104639.000000	175834.000000	34287.000000	53997.000000	30504.000000	64272.000000	48825.000000	84959.000000	870.000000	-7009.000000	-4093.000000	3.000000	72.000000	-3.000000	-35.000000	-332.000000	-73.000000	0.117187	0.200195	0.268555	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	103857.000000	175834.000000	34214.000000	53945.000000	30470.000000	63501.000000	49632.000000	84959.000000	860.000000	-7010.000000	-4104.000000	61.000000	-8.000000	-3.000000	-37.000000	-327.000000	-71.000000	0.107422	0.200195	0.273437	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104051.000000	175556.000000	34404.000000	54261.000000	30437.000000	63902.000000	49346.000000	84636.000000	747.000000	-7031.000000	-4104.000000	6.000000	100.000000	-9.000000	-49.000000	-327.000000	-68.000000	0.102539	0.195312	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104936.000000	176392.000000	34298.000000	54234.000000	30521.000000	64646.000000	49544.000000	84123.000000	819.000000	-7045.000000	-4159.000000	30.000000	16.000000	-51.000000	-49.000000	-331.000000	-59.000000	0.102539	0.195312	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104541.000000	176392.000000	34458.000000	54050.000000	30563.000000	66186.000000	49632.000000	82316.000000	838.000000	-7027.000000	-4093.000000	44.000000	-11.000000	-37.000000	-34.000000	-329.000000	-69.000000	0.097656	0.195312	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104541.000000	175834.000000	34235.000000	54634.000000	30546.000000	67268.000000	49214.000000	84059.000000	976.000000	-6990.000000	-4053.000000	55.000000	33.000000	-42.000000	-43.000000	-330.000000	-74.000000	0.102539	0.195312	0.273437	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104246.000000	175556.000000	34245.000000	54931.000000	30321.000000	66463.000000	49324.000000	82992.000000	950.000000	-7030.000000	-4049.000000	8.000000	-34.000000	23.000000	-46.000000	-332.000000	-71.000000	0.107422	0.200195	0.278320	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:52 PM	104246.000000	175279.000000	34130.000000	54877.000000	30370.000000	65139.000000	48868.000000	82499.000000	818.000000	-6997.000000	-4140.000000	-15.000000	88.000000	25.000000	-32.000000	-333.000000	-74.000000	0.102539	0.185547	0.263672	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104738.000000	175003.000000	34277.000000	54823.000000	30404.000000	64608.000000	49411.000000	83617.000000	867.000000	-7030.000000	-4183.000000	35.000000	39.000000	38.000000	-33.000000	-338.000000	-71.000000	0.117187	0.190430	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104442.000000	175003.000000	34130.000000	54527.000000	30279.000000	65062.000000	49280.000000	82684.000000	797.000000	-7009.000000	-4101.000000	40.000000	46.000000	7.000000	-30.000000	-337.000000	-64.000000	0.117187	0.200195	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	105433.000000	175834.000000	34015.000000	54581.000000	30504.000000	64684.000000	49236.000000	82561.000000	783.000000	-7021.000000	-4068.000000	26.000000	18.000000	-10.000000	-31.000000	-328.000000	-64.000000	0.122070	0.195312	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104936.000000	175003.000000	34235.000000	54340.000000	30521.000000	64910.000000	48675.000000	81771.000000	884.000000	-7012.000000	-4082.000000	29.000000	-8.000000	-19.000000	-38.000000	-335.000000	-70.000000	0.112305	0.195312	0.263672	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	105134.000000	176672.000000	34277.000000	54314.000000	30605.000000	65523.000000	48590.000000	82073.000000	938.000000	-7003.000000	-4179.000000	28.000000	25.000000	-7.000000	-38.000000	-340.000000	-70.000000	0.112305	0.190430	0.273437	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	105533.000000	175834.000000	34511.000000	54155.000000	30487.000000	64235.000000	48697.000000	81771.000000	834.000000	-7008.000000	-4202.000000	58.000000	79.000000	6.000000	-33.000000	-332.000000	-69.000000	0.097656	0.195312	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104541.000000	173908.000000	34287.000000	54261.000000	30563.000000	64124.000000	49193.000000	82133.000000	882.000000	-6997.000000	-4327.000000	100.000000	72.000000	-9.000000	-24.000000	-339.000000	-73.000000	0.122070	0.209961	0.268555	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	105734.000000	175556.000000	34351.000000	54581.000000	30647.000000	65177.000000	48804.000000	82073.000000	974.000000	-6991.000000	-4585.000000	231.000000	59.000000	-19.000000	-21.000000	-338.000000	-68.000000	0.117187	0.209961	0.268555	0.029297	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104442.000000	174454.000000	34266.000000	54314.000000	30579.000000	65484.000000	49302.000000	81233.000000	675.000000	-7067.000000	-4504.000000	418.000000	182.000000	-2.000000	-27.000000	-329.000000	-62.000000	0.107422	0.209961	0.263672	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104149.000000	174728.000000	34362.000000	54554.000000	30706.000000	65561.000000	48825.000000	81411.000000	994.000000	-7103.000000	-4180.000000	506.000000	102.000000	-65.000000	-34.000000	-328.000000	-63.000000	0.117187	0.209961	0.268555	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	103954.000000	174180.000000	34956.000000	54261.000000	30420.000000	69585.000000	49236.000000	81711.000000	905.000000	-7161.000000	-3899.000000	640.000000	45.000000	-7.000000	-34.000000	-333.000000	-62.000000	0.107422	0.200195	0.263672	0.029297	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	103760.000000	175556.000000	35189.000000	54394.000000	30664.000000	69023.000000	49346.000000	82745.000000	1005.000000	-7204.000000	-3803.000000	625.000000	111.000000	-17.000000	-34.000000	-330.000000	-71.000000	0.112305	0.224609	0.273437	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104936.000000	175834.000000	35300.000000	54234.000000	30817.000000	69238.000000	49588.000000	83491.000000	996.000000	-7297.000000	-3597.000000	713.000000	20.000000	12.000000	-38.000000	-325.000000	-80.000000	0.126953	0.214844	0.278320	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104639.000000	175279.000000	35379.000000	54340.000000	30868.000000	70111.000000	50650.000000	84700.000000	903.000000	-7389.000000	-3267.000000	676.000000	128.000000	12.000000	-42.000000	-328.000000	-73.000000	0.122070	0.214844	0.273437	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104442.000000	175279.000000	35334.000000	54340.000000	31128.000000	69803.000000	50696.000000	84379.000000	934.000000	-7454.000000	-2879.000000	598.000000	101.000000	-7.000000	-42.000000	-327.000000	-73.000000	0.126953	0.219727	0.283203	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	105134.000000	175834.000000	35629.000000	54367.000000	31543.000000	70512.000000	50743.000000	84636.000000	948.000000	-7546.000000	-2665.000000	541.000000	-30.000000	2.000000	-42.000000	-323.000000	-78.000000	0.122070	0.209961	0.273437	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104738.000000	177236.000000	35583.000000	54367.000000	31093.000000	70378.000000	50929.000000	84700.000000	855.000000	-7612.000000	-2613.000000	418.000000	-80.000000	21.000000	-42.000000	-320.000000	-79.000000	0.146484	0.234375	0.273437	0.048828	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	103663.000000	175556.000000	35652.000000	54050.000000	31110.000000	70646.000000	50952.000000	84700.000000	976.000000	-7599.000000	-2742.000000	302.000000	99.000000	8.000000	-43.000000	-311.000000	-87.000000	0.131836	0.229492	0.278320	0.043945	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104738.000000	174180.000000	36056.000000	54447.000000	31498.000000	70333.000000	50489.000000	83428.000000	901.000000	-7612.000000	-2701.000000	225.000000	121.000000	29.000000	-38.000000	-312.000000	-80.000000	0.117187	0.224609	0.273437	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:53 PM	104149.000000	174454.000000	35882.000000	53736.000000	31436.000000	70557.000000	50719.000000	83617.000000	906.000000	-7636.000000	-2682.000000	200.000000	-18.000000	-11.000000	-36.000000	-320.000000	-78.000000	0.112305	0.224609	0.278320	0.048828	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:54 PM	104837.000000	173908.000000	35998.000000	53581.000000	31110.000000	70646.000000	50650.000000	85416.000000	943.000000	-7648.000000	-2621.000000	148.000000	-46.000000	7.000000	-38.000000	-316.000000	-89.000000	0.107422	0.229492	0.278320	0.039062	0.000000	0.000000	0.000000	0.000000
8/25/2022	3:56:54 PM	105035.000000	173095.000000	36021.000000	54050.000000	31427.000000	70023.000000	51352.000000	84507.000000	923.000000	-7670.000000	-2513.000000	73.000000	-4.000000	11.000000	-35.000000	-308.000000	-93.000000	0.112305	0.239258	0.288086	0.053711	0.000000	0.000000	0.000000	0.000000
