Date	Time	FMG1	FMG2	FMG3	FMG4	FMG5	FMG6	FMG7	FMG8	IMU1	IMU2	IMU3	IMU4	IMU5	IMU6	IMU7	IMU8	IMU9	EMG1	EMG2	EMG3	EMG4	TTL1	TTL2	TTL3	TTL4							
8/25/2022	4:02:18 PM	115999.000000	175279.000000	41143.000000	64986.000000	34046.000000	75596.000000	51928.000000	123064.000000	1444.000000	-7292.000000	-3414.000000	34.000000	36.000000	-5.000000	-56.000000	-299.000000	-70.000000	0.122070	0.322266	0.278320	0.029297	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:18 PM	115157.000000	176672.000000	41342.000000	64608.000000	34182.000000	76481.000000	51952.000000	122521.000000	1493.000000	-7292.000000	-3464.000000	26.000000	16.000000	-5.000000	-44.000000	-298.000000	-62.000000	0.122070	0.336914	0.292969	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:18 PM	114564.000000	175834.000000	41249.000000	64124.000000	34662.000000	76062.000000	51591.000000	122928.000000	1486.000000	-7274.000000	-3409.000000	49.000000	17.000000	2.000000	-54.000000	-304.000000	-62.000000	0.117187	0.336914	0.288086	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:18 PM	114919.000000	179237.000000	41372.000000	64646.000000	34814.000000	76218.000000	51543.000000	123200.000000	1390.000000	-7300.000000	-3378.000000	27.000000	58.000000	1.000000	-66.000000	-306.000000	-65.000000	0.112305	0.336914	0.292969	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:18 PM	114682.000000	177236.000000	41219.000000	64948.000000	34847.000000	76166.000000	51281.000000	123337.000000	1454.000000	-7270.000000	-3434.000000	19.000000	39.000000	-29.000000	-60.000000	-308.000000	-65.000000	0.107422	0.341797	0.292969	0.029297	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:19 PM	114800.000000	179237.000000	41127.000000	64458.000000	35000.000000	75648.000000	51495.000000	123064.000000	1520.000000	-7278.000000	-3473.000000	39.000000	-8.000000	-16.000000	-54.000000	-308.000000	-63.000000	0.102539	0.356445	0.292969	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:19 PM	115157.000000	177236.000000	41280.000000	64421.000000	34879.000000	75086.000000	51567.000000	123337.000000	1538.000000	-7288.000000	-3457.000000	36.000000	19.000000	-5.000000	-56.000000	-308.000000	-62.000000	0.097656	0.366211	0.283203	0.029297	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:19 PM	114919.000000	177519.000000	41280.000000	64533.000000	34912.000000	76010.000000	51352.000000	122657.000000	1488.000000	-7272.000000	-3346.000000	46.000000	43.000000	12.000000	-59.000000	-309.000000	-63.000000	0.102539	0.346680	0.283203	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:19 PM	115637.000000	179527.000000	41234.000000	64797.000000	34934.000000	75906.000000	51567.000000	124026.000000	1461.000000	-7306.000000	-3404.000000	15.000000	36.000000	2.000000	-60.000000	-309.000000	-64.000000	0.102539	0.356445	0.292969	0.034180	0.000000	0.000000	0.000000	0.000000
8/25/2022	4:02:19 PM	116120.000000	178374.000000	41036.000000	64533.000000	34814.000000	75545.000000	51281.000000	123474.000000	1426.000000	-7286.000000	-3440.000000	27.000000	16.000000	-2.000000	-55.000000	-311.000000	-69.000000	0.107422	0.371094	0.292969	0.034180	0.000000	0.000000	0.000000	0.000000
